iterations, deviation
0, 0.00155088
1, 0.00017048
2, 0.0015244
3, 0.00068
4, 0.00086624
5, 0.00092104
6, 0.00106928
7, 0.00083984
8, 0.00034416
9, 0.00018816
10, 0.00045808
11, 0.0006596
12, 0.00032272
13, 0.00158488
14, 0.00157576
15, 0.00040832
16, 0.00047424
17, 0.00149384
18, 0.00048608
19, 0.0005912
20, 0.0012
21, 0.00066464
22, 0.0006908
23, 0.00027696
24, 0.0004768
25, 0.00053576
26, 0.00129024
27, 0.00022616
28, 0.00059968
29, 0.00120184
30, 0.0018808
31, 0.00096496
32, 0.00088792
33, 0.00144408
34, 0.00076184
35, 0.00046976
36, 0.00075808
37, 0.00066704
38, 0.00015344
39, 0.00141312
40, 0.00098968
41, 0.00032368
42, 0.00031608
43, 0.00035968
44, 0.00072032
45, 0.0011148
46, 0.00187568
47, 0.0004188
48, 0.00042696
49, 0.00015248
50, 0.00044744
51, 0.00015272
52, 0.00048512
53, 0.00036112
54, 0.00100312
55, 0.000978
56, 0.0006992
57, 0.00041512
58, 0.00078016
59, 0.00169528
60, 0.00028912
61, 0.00038384
62, 0.00034744
63, 0.00018592
64, 0.00017552
65, 0.00041312
66, 0.00071648
67, 0.0007512
68, 0.00165
69, 0.0015612
70, 0.0015392
71, 0.00058064
72, 0.00130328
73, 0.00042416
74, 0.00232288
75, 0.00057528
76, 0.00077768
77, 0.00035832
78, 0.00067432
79, 0.00069872
80, 0.000554
81, 0.00050696
82, 0.00144112
83, 0.00038944
84, 0.00056504
85, 0.00060512
86, 0.00047256
87, 0.0006008
88, 0.00020872
89, 0.00032392
90, 0.00047608
91, 0.000238
92, 0.0002196
93, 0.0001824
94, 0.0008556
95, 0.00059952
96, 0.00096872
97, 0.00047448
98, 0.00254416
99, 0.00083384
100, 0.00127512
101, 0.00158096
102, 0.00027656
103, 0.00125768
104, 0.00108368
105, 0.00029416
106, 0.00064544
107, 0.00106568
108, 0.00080216
109, 0.00089616
110, 0.00093264
111, 0.00105856
112, 0.00060504
113, 0.00077928
114, 0.00225992
115, 0.001658
116, 0.0005556
117, 0.00061776
118, 0.00044256
119, 0.0003664
120, 0.00083184
121, 0.00041824
122, 0.00043032
123, 0.00030688
124, 0.00029312
125, 0.00018848
126, 0.00023944
127, 0.00084688
128, 0.00030856
129, 0.00025896
130, 0.00096112
131, 0.00038856
132, 0.00034976
133, 0.0002856
134, 0.00015256
135, 0.00063712
136, 0.0006812
137, 0.00038032
138, 0.00040496
139, 0.00020872
140, 0.0004004
141, 0.0002208
142, 0.00029584
143, 0.00056032
144, 0.00096952
145, 0.00147912
146, 0.0032504
147, 0.00157152
148, 0.00027952
149, 0.00040688
150, 0.00073472
151, 0.00066592
152, 0.00028112
153, 7.544e-05
154, 0.00099336
155, 0.00118848
156, 0.00076696
157, 0.00071848
158, 0.0004564
159, 0.00034952
160, 0.00206928
161, 0.00026008
162, 0.00212688
163, 0.00128344
164, 0.00051912
165, 0.00085136
