iterations, deviation
0, 0.00103671
1, 0.00030277
2, 0.000658084
3, 0.00156583
4, 0.00134228
5, 0.000243683
6, 0.000361312
7, 0.000334098
8, 0.000602492
9, 0.000429105
10, 0.00201557
11, 0.000922571
12, 0.000635574
13, 0.000539105
14, 0.000310854
15, 0.000472807
16, 0.00052502
17, 0.000549351
18, 0.000385341
19, 0.000504836
20, 0.000547092
21, 0.000595525
22, 0.000277337
23, 0.000152944
24, 0.000746986
25, 0.000385204
26, 0.000391964
27, 0.00125463
28, 0.00106661
29, 0.00124104
30, 0.000470722
31, 0.00202044
32, 0.000427417
33, 0.000966547
34, 0.000284626
35, 0.000125999
36, 0.000453116
37, 0.000421605
38, 0.000297198
39, 0.000453784
40, 0.000523623
41, 0.00227259
42, 0.0012781
43, 0.000247856
44, 0.000366475
45, 0.000271201
46, 0.000827067
47, 0.00110382
48, 0.000105623
49, 0.00122727
50, 0.00085797
51, 0.000352541
52, 0.000206989
53, 0.000386826
54, 0.000705514
55, 0.000276582
56, 0.00155051
57, 0.00298032
58, 0.000166663
59, 0.00133914
60, 0.000572375
61, 0.000414461
62, 0.000409411
63, 0.00129221
64, 0.000410292
65, 0.000575414
66, 0.000237799
67, 0.00139193
68, 0.000566328
69, 0.00133479
70, 0.000733618
71, 0.000121333
72, 0.000336615
73, 0.00115652
74, 0.00123812
75, 0.000663946
76, 0.000872714
77, 0.00046875
78, 0.000715405
79, 0.00113807
80, 0.000115195
81, 0.000578334
82, 0.000221256
83, 0.00153862
84, 0.0017614
85, 0.000584754
86, 0.000813055
87, 0.000476081
88, 0.00015635
89, 0.00167038
90, 0.00142752
91, 0.000534141
92, 0.000425552
93, 0.000449024
94, 0.00133604
95, 0.000181187
96, 0.000132702
97, 0.00114723
98, 0.000607949
99, 0.000109101
100, 0.000200503
101, 0.000375767
102, 0.0012953
103, 0.000613874
104, 0.000944708
105, 0.000997769
106, 0.0020798
107, 0.000539659
108, 0.000603022
109, 0.00053742
110, 0.000301202
111, 0.000595288
112, 0.000295486
113, 0.000201041
114, 0.000110638
115, 0.000884627
116, 0.00209031
117, 0.000202352
118, 0.00162644
119, 0.000256541
120, 0.00128442
121, 0.000731507
122, 0.000207211
123, 0.000706821
124, 0.000688672
125, 0.000641922
126, 0.000414568
127, 0.000223583
128, 0.00122356
129, 0.000655498
130, 0.000272517
131, 0.000416461
132, 0.000295809
133, 0.000631193
134, 0.000856709
135, 0.000613738
136, 0.00190924
137, 0.0010951
138, 0.00105474
139, 0.00251551
140, 0.00199158
141, 0.00133637
142, 0.00138884
143, 0.00161056
144, 0.000859026
145, 0.000731289
146, 0.000479949
147, 0.000342498
148, 0.000496187
149, 0.000448839
150, 0.000466015
151, 0.00045413
152, 0.0010478
153, 0.000833262
154, 0.00123654
155, 0.000368891
156, 0.000516285
157, 0.00119002
158, 0.000715473
159, 0.000983194
160, 0.00293507
161, 0.000998069
162, 0.00024604
163, 0.000603373
164, 0.000163692
165, 0.000979421
