Load, Flux
0, 3101
1, 3011
2, 2901
3, 2779
4, 2649
5, 2502
6, 2343
7, 2191
8, 2029
9, 1840
10, 1675
11, 1481
12, 1283
13, 1062
14, 889
15, 661
16, 460
17, 206
18, 70
19, 13
20, 6
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
30, 130
29, 102
28, 71
27, 70
26, 26
25, 45
24, 39
23, 50
22, 106
21, 211
20, 358
19, 503
18, 654
17, 807
16, 956
15, 1095
14, 1248
13, 1365
12, 1537
11, 1706
10, 1829
9, 1968
8, 2090
7, 2232
6, 2380
5, 2520
4, 2613
3, 2729
2, 2852
1, 2990
0, 3052
