State, Probability
0, 0.0637786
1, 0.0974084
2, 0.100729
3, 0.0976641
4, 0.0947481
5, 0.0951832
6, 0.0952176
7, 0.0947595
8, 0.097126
9, 0.10166
10, 0.053
11, 0.00808015
12, 0.000610687
13, 3.05344e-05
14, 3.81679e-06
