State, Probability
0, 0.319014
1, 0.21945
2, 0.151539
3, 0.103166
4, 0.0697832
5, 0.047907
6, 0.0332132
7, 0.0225308
8, 0.0155005
9, 0.0106622
10, 0.0072349
