State, Probability
0, 0.259798
1, 0.265603
2, 0.173298
3, 0.108779
4, 0.0708053
5, 0.0447443
6, 0.0299656
7, 0.0201221
8, 0.0131183
9, 0.00927481
10, 0.00398473
11, 0.000484733
12, 2.29008e-05
13, 0
14, 0
