State, Probability
0, 0.0919379
1, 0.0920766
2, 0.0901406
3, 0.0910402
4, 0.0894509
5, 0.0900762
6, 0.0900259
7, 0.090871
8, 0.0911111
9, 0.0915001
10, 0.0917695
