Load, Flux
0, 0
1, 69
2, 133
3, 204
4, 266
5, 327
6, 396
7, 461
8, 534
9, 597
10, 654
11, 714
12, 775
13, 838
14, 885
15, 937
16, 983
17, 1032
18, 1085
19, 1129
20, 1148
21, 1184
22, 1220
23, 1247
24, 1270
25, 1285
26, 1319
27, 1312
28, 1346
29, 1336
30, 1328
31, 1346
32, 1348
33, 1356
34, 1317
35, 1335
36, 1303
37, 1290
38, 1262
39, 1229
40, 1211
41, 1157
42, 1142
43, 1074
44, 1040
45, 970
44, 1028
43, 1060
42, 1118
41, 1169
40, 1241
39, 1222
38, 1249
37, 1286
36, 1280
35, 1308
34, 1338
33, 1336
32, 1338
31, 1327
30, 1335
29, 1328
28, 1327
27, 1320
26, 1292
25, 1274
24, 1284
23, 1244
22, 1227
21, 1185
20, 1138
19, 1119
18, 1086
17, 1031
16, 998
15, 937
14, 883
13, 824
12, 784
11, 716
10, 661
9, 589
8, 524
7, 471
6, 397
5, 331
4, 271
3, 200
2, 127
1, 66
0, 0
